3546,2178,4048,-0.038,8.801,3.364,-0.334,0.007,-0.245,TILT_LEFT
3500,2139,4025,-0.115,8.528,3.366,-0.431,0.082,-0.36,TILT_LEFT
3477,2182,4095,0.393,7.762,3.984,-0.648,0.083,-0.675,TILT_LEFT
3504,2295,4095,0.33,8.653,4.472,-0.778,-0.149,-0.971,TILT_LEFT
3511,2271,4093,-1.001,9.675,3.479,-0.66,-0.173,-0.902,TILT_LEFT
3520,2242,4095,-1.597,9.85,3.27,-0.513,0.137,-0.584,TILT_LEFT
3523,2221,4095,-1.118,9.517,4.331,-0.452,0.279,-0.335,TILT_LEFT
3573,2260,4095,-1.087,9.433,4.846,-0.413,0.236,-0.229,TILT_LEFT
3499,2246,4095,-1.006,9.723,5.413,-0.385,0.089,-0.118,TILT_LEFT
3525,2267,4095,-0.972,9.845,4.858,-0.225,-0.116,0.012,TILT_LEFT
3632,2250,4095,-1.374,9.996,4.377,-0.041,-0.06,0.109,TILT_LEFT
3600,2217,4095,-1.207,9.869,4.683,0.037,0.003,0.248,TILT_LEFT
3475,2230,4095,-0.874,9.438,4.769,0.093,-0.043,0.274,TILT_LEFT
3464,2159,4095,-0.627,9.017,4.492,0.094,-0.096,0.138,TILT_LEFT
3510,2192,4095,-0.797,8.516,3.718,-0.002,-0.036,-0.171,TILT_LEFT
3490,2202,4095,-1.099,8.535,3.654,-0.181,0.131,-0.409,TILT_LEFT
3641,2250,4095,-1.128,8.724,4.061,-0.279,0.221,-0.5,TILT_LEFT
3459,2182,4095,-1.243,9.084,4.499,-0.27,0.222,-0.47,TILT_LEFT
3554,2222,4095,-1.092,9.292,5.021,-0.196,0.126,-0.324,TILT_LEFT
3456,2235,4095,-1.214,9.462,4.944,-0.039,-0.018,-0.144,TILT_LEFT
3410,2192,4095,-1.233,9.292,4.731,0.088,-0.062,0.062,TILT_LEFT
3629,2089,4095,-1.786,9.081,2.782,-0.014,0.076,0.101,TILT_LEFT
3568,2065,4095,-1.556,8.904,2.875,-0.042,0.108,0.123,TILT_LEFT
3613,2084,4049,-1.475,8.885,3.026,-0.062,0.108,0.079,TILT_LEFT
3601,2061,4095,-1.487,9.012,3.089,-0.078,0.038,0.056,TILT_LEFT
3152,2039,4095,-1.492,9.043,2.959,-0.083,-0.043,0.076,TILT_LEFT
3266,2066,4095,-1.542,9.057,2.799,-0.081,-0.088,0.068,TILT_LEFT
3376,2074,4095,-1.621,9.108,2.701,-0.088,-0.103,0.052,TILT_LEFT
3281,2064,4075,-1.7,9.158,2.72,-0.102,-0.112,0.025,TILT_LEFT
3331,2064,4064,-1.808,9.239,2.796,-0.109,-0.125,-0.01,TILT_LEFT
3367,2058,4095,-1.932,9.376,2.907,-0.115,-0.146,-0.039,TILT_LEFT
3392,2032,4095,-2.042,9.524,2.933,-0.112,-0.172,-0.057,TILT_LEFT
3424,2043,4095,-2.167,9.708,2.88,-0.088,-0.186,-0.038,TILT_LEFT
3438,2058,4095,-2.243,9.689,2.859,-0.057,-0.155,-0.002,TILT_LEFT
3654,2084,4095,-2.174,9.488,2.919,-0.03,-0.134,-0.012,TILT_LEFT
3664,2111,4095,-2.152,9.345,2.974,-0.014,-0.142,-0.075,TILT_LEFT
3456,2085,4095,-2.224,9.285,3.065,-0.003,-0.155,-0.154,TILT_LEFT
3507,2102,4095,-2.358,9.469,3.041,0,-0.2,-0.176,TILT_LEFT
3578,2107,4095,-2.483,9.589,2.995,0.009,-0.2,-0.108,TILT_LEFT
3518,2078,4095,-2.435,9.481,2.993,0.027,-0.151,-0.064,TILT_LEFT
3405,2068,4095,-2.401,9.352,2.969,0.029,-0.078,-0.07,TILT_LEFT
3450,2054,4095,-2.184,9.234,3.134,0.035,-0.025,-0.109,TILT_LEFT
