flex1,flex2,flex3,ax,ay,az,gx,gy,gz,label
4048,2022,4095,9.871,-0.778,-1.226,-0.05,-0.061,-0.005,POINT
4025,2134,4095,9.804,-0.728,-1.298,-0.047,-0.083,-0.037,POINT
4071,2143,4095,9.685,-0.613,-1.401,-0.05,-0.087,-0.032,POINT
3981,2128,2942,9.661,-0.584,-1.487,-0.056,-0.064,-0.006,POINT
4095,2113,4095,9.716,-0.694,-1.475,-0.065,-0.009,0.003,POINT
4051,2087,4095,9.725,-0.639,-1.386,-0.064,0.023,-0.009,POINT
4075,2162,3955,9.857,-0.553,-1.255,-0.058,-0.008,-0.002,POINT
3856,2144,2320,9.9,-0.453,-1.25,-0.05,-0.066,0.02,POINT
4006,2132,4002,9.931,-0.453,-1.3,-0.051,-0.068,0.044,POINT
3929,2118,2272,9.957,-0.496,-1.257,-0.054,-0.037,0.057,POINT
3703,2139,2084,10.001,-0.536,-1.13,-0.05,-0.019,0.043,POINT
3803,2131,1421,10.063,-0.546,-1.03,-0.03,-0.056,0.018,POINT
3579,2112,1400,10.039,-0.603,-1.065,-0.021,-0.121,0.006,POINT
3905,2124,2813,9.934,-0.644,-1.235,-0.026,-0.143,0.008,POINT
3583,2035,944,9.838,-0.749,-1.307,-0.039,-0.103,0.002,POINT
3783,2016,2518,9.807,-0.771,-1.276,-0.046,-0.082,-0.015,POINT
3614,2011,2723,9.685,-0.699,-1.381,-0.041,-0.088,-0.035,POINT
3777,2037,4095,9.627,-0.632,-1.456,-0.054,-0.079,-0.011,POINT
3648,1981,2696,9.651,-0.661,-1.492,-0.063,-0.057,0.01,POINT
3862,2031,4095,9.708,-0.682,-1.47,-0.064,-0.02,0.003,POINT
3710,1975,4095,9.78,-0.596,-1.42,-0.059,-0.007,-0.003,POINT
3782,2007,4095,9.783,-0.529,-1.336,-0.065,-0.017,0.016,POINT
3718,1911,4095,9.907,-0.529,-1.243,-0.067,-0.048,0.041,POINT
3431,2017,2874,9.989,-0.529,-1.207,-0.067,-0.067,0.051,POINT
3504,1904,4095,9.984,-0.491,-1.192,-0.06,-0.07,0.043,POINT
3719,2039,3863,9.926,-0.522,-1.202,-0.053,-0.061,0.034,POINT
3661,2023,3953,9.929,-0.563,-1.178,-0.049,-0.047,0.026,POINT
3603,1953,2336,9.953,-0.682,-1.171,-0.043,-0.061,-0.006,POINT
3687,1984,4095,9.828,-0.666,-1.288,-0.043,-0.07,-0.03,POINT
3689,1982,2385,9.716,-0.646,-1.365,-0.059,-0.059,-0.023,POINT
3692,2007,1872,9.67,-0.697,-1.439,-0.063,-0.043,0.002,POINT
3718,1957,1133,9.706,-0.788,-1.448,-0.078,-0.006,-0.008,POINT
3648,1964,1392,9.706,-0.663,-1.386,-0.081,0,-0.009,POINT
3853,2043,2559,9.663,-0.62,-1.401,-0.099,0.023,0.018,POINT
3627,2000,1152,9.864,-0.579,-1.204,-0.103,0.014,0.032,POINT
3671,2023,1838,9.895,-0.436,-1.207,-0.093,-0.02,0.045,POINT
3874,2127,2443,9.981,-0.426,-1.147,-0.087,-0.04,0.068,POINT
3536,2000,4095,10.056,-0.52,-1.116,-0.074,0.01,0.052,POINT
3406,1965,2488,9.974,-0.414,-1.025,-0.064,0.021,0.016,POINT
3335,1938,3617,9.936,-0.453,-1.039,-0.051,0,0.024,POINT
3307,1901,4095,9.914,-0.486,-1.097,-0.052,-0.031,0.041,POINT
3396,1930,4095,9.809,-0.579,-1.238,-0.038,-0.018,0.042,POINT
3335,1875,4095,9.845,-0.721,-1.214,-0.035,0.004,0.023,POINT
3222,1790,2961,9.802,-0.713,-1.233,-0.029,-0.023,0.007,POINT
3315,1861,4095,9.744,-0.69,-1.334,-0.038,-0.026,0.001,POINT
3257,1888,4095,9.747,-0.718,-1.29,-0.06,-0.002,0.013,POINT
3182,1791,4055,9.785,-0.675,-1.199,-0.082,0.011,0.033,POINT
3115,1767,2058,9.95,-0.694,-1.027,-0.092,-0.026,0.052,POINT
3342,1804,3735,9.974,-0.634,-1.003,-0.078,-0.067,0.039,POINT
3179,1806,1966,9.993,-0.606,-1.073,-0.068,-0.085,0.025,POINT
3295,1897,2267,9.934,-0.532,-1.109,-0.083,-0.051,0.053,POINT
3349,1887,981,9.984,-0.594,-0.982,-0.082,-0.02,0.052,POINT
3318,1850,1034,10.027,-0.632,-0.965,-0.063,-0.046,0.012,POINT
3430,1808,2218,9.986,-0.644,-1.049,-0.05,-0.08,-0.012,POINT
3274,1861,199,9.85,-0.555,-1.183,-0.049,-0.091,-0.006,POINT
3226,1840,1487,9.771,-0.611,-1.24,-0.063,-0.047,0.018,POINT
3386,1872,2285,9.799,-0.67,-1.168,-0.069,-0.032,0.03,POINT
3367,1860,4095,9.795,-0.654,-1.168,-0.066,-0.051,0.024,POINT
3227,1840,2214,9.807,-0.618,-1.156,-0.055,-0.076,0.012,POINT
3214,1840,3952,9.761,-0.57,-1.231,-0.049,-0.096,0.029,POINT
3237,1776,4095,9.807,-0.682,-1.252,-0.055,-0.04,0.039,POINT
3162,1834,4095,9.862,-0.69,-1.08,-0.064,0.003,0.012,POINT
3232,1791,4095,9.857,-0.606,-1.032,-0.062,-0.008,0.01,POINT
3024,1796,2589,9.926,-0.611,-1.022,-0.06,-0.031,0.029,POINT
3183,1730,4095,9.996,-0.666,-1.018,-0.056,-0.07,0.023,POINT
3155,1815,4095,9.941,-0.661,-1.13,-0.058,-0.064,0.017,POINT
3185,1750,4095,9.919,-0.613,-1.053,-0.062,-0.044,0.005,POINT
3182,1775,2114,9.931,-0.594,-1.08,-0.056,-0.055,0.003,POINT
3217,1803,3434,9.85,-0.553,-1.101,-0.056,-0.063,0.016,POINT
3206,1806,1897,9.934,-0.666,-1.058,-0.051,-0.085,0.022,POINT
3301,1769,1729,9.852,-0.658,-1.137,-0.051,-0.1,0.016,POINT
3154,1745,479,9.895,-0.654,-1.116,-0.052,-0.075,0.026,POINT
3088,1757,743,9.84,-0.656,-1.109,-0.047,-0.06,0.015,POINT
3951,2057,2559,-1.159,9.4,-3.266,-0.139,0.068,0.03,POINT
3888,1982,678,-1.13,9.263,-3.493,-0.081,0.005,-0.031,POINT
4047,2046,828,-1.238,9.299,-3.563,-0.046,0.034,-0.066,POINT
3812,2059,2263,-1.319,9.424,-3.381,-0.042,0.091,-0.059,POINT
3921,2112,2288,-1.116,9.342,-3.247,-0.018,0.07,-0.021,POINT
3888,2037,4095,-1.025,9.12,-3.297,0.013,-0.005,-0.014,POINT
3838,2001,2982,-1.106,9.029,-3.496,0.028,-0.051,0.002,POINT
3877,2058,3759,-1.097,8.82,-3.531,-0.004,-0.021,0.021,POINT
3922,1930,3701,-1.348,8.938,-3.587,-0.041,0.056,0.052,POINT
3921,2105,4095,-1.379,8.902,-3.527,-0.062,0.113,0.116,POINT
3887,2085,4095,-1.19,8.741,-3.335,-0.047,0.051,0.086,POINT
4024,1947,4080,-1.298,8.875,-3.46,-0.03,-0.05,0.019,POINT
4075,2043,4095,-1.487,9.036,-3.594,-0.036,-0.077,0.037,POINT
3980,2103,4095,-1.535,9.146,-3.613,-0.033,-0.039,0.102,POINT
4050,2014,4095,-1.523,9.029,-3.73,-0.046,0.041,0.151,POINT
3987,1963,2994,-1.396,9.057,-3.524,-0.037,0.088,0.184,POINT
4005,2032,4095,-1.041,8.782,-3.407,-0.012,0.013,0.144,POINT
3903,2096,2624,-1.104,8.693,-3.618,0.008,-0.053,0.04,POINT
3914,2127,2629,-1.116,8.892,-3.646,0.006,-0.06,-0.022,POINT
3838,2096,1050,-1.427,9.031,-3.778,-0.037,0.026,0.042,POINT
4065,2128,2062,-1.336,9.064,-3.632,-0.092,0.114,0.195,POINT
3728,2067,1296,-0.967,8.818,-3.462,-0.115,0.073,0.301,POINT
3711,2075,1126,-0.649,8.502,-3.498,-0.1,-0.047,0.25,POINT
3873,2032,2466,-0.735,8.566,-3.654,-0.09,-0.11,0.089,POINT
3925,1968,2434,-0.955,8.83,-3.709,-0.092,-0.071,-0.007,POINT
3985,2027,4095,-1.087,8.969,-3.666,-0.114,0.002,-0.004,POINT
3760,2006,2672,-0.965,9.005,-3.421,-0.136,0.019,0.025,POINT
3771,2013,4032,-0.836,8.897,-3.302,-0.117,-0.064,0.014,POINT
3891,2067,4095,-0.687,8.825,-3.426,-0.094,-0.181,-0.044,POINT
4095,2074,4095,-1.065,9.045,-3.673,-0.094,-0.216,-0.049,POINT
4042,2029,4095,-1.3,9.158,-3.713,-0.134,-0.103,0.038,POINT
4090,1971,3525,-1.111,9.045,-3.474,-0.136,-0.005,0.062,POINT
4038,2075,4095,-0.989,8.99,-3.393,-0.109,-0.009,-0.023,POINT
4022,2077,4095,-1.092,9.189,-3.484,-0.069,-0.054,-0.083,POINT
3902,2057,4095,-1.255,9.194,-3.61,-0.074,-0.028,-0.039,POINT
3951,1999,2768,-1.207,8.94,-3.548,-0.111,0.017,0.022,POINT
