3951,2259,3088,-1.659,-0.752,-8.533,-0.596,-4.353,-1.707,SHAKE_OPEN
3178,2255,4017,-2.298,-0.603,-10.195,-0.984,-2.58,-1.9,SHAKE_OPEN
3938,2254,4095,-3.033,0.249,-10.216,-1.411,-0.736,-2.056,SHAKE_OPEN
3888,1639,4095,-1.935,1.168,-10.312,-1.678,0.824,-1.875,SHAKE_OPEN
4095,2333,3126,-0.381,1.432,-9.57,-1.607,2.195,-1.743,SHAKE_OPEN
3035,2117,3998,1.135,1.559,-8.811,-1.502,3.447,-1.911,SHAKE_OPEN
4095,1776,3339,2.504,1.99,-8.418,-1.303,4.569,-2.334,SHAKE_OPEN
4095,2085,4095,3.826,2.866,-7.477,-1.025,5.605,-2.807,SHAKE_OPEN
4073,1919,4095,5.358,3.821,-5.753,-0.834,6.229,-2.947,SHAKE_OPEN
4095,2034,3522,6.721,4.48,-4.688,-0.654,6.588,-2.983,SHAKE_OPEN
3445,2363,3440,8.078,4.911,-5.114,-0.427,7.248,-2.915,SHAKE_OPEN
4095,1999,4095,7.671,5.021,-5.401,-0.25,8.593,-2.848,SHAKE_OPEN
4095,1855,3835,5.25,5.768,-2.749,-0.316,8.731,-2.767,SHAKE_OPEN
3522,2225,4095,1.669,6.311,4.209,-0.767,8.731,-2.716,SHAKE_OPEN
3542,2322,4095,5.861,7.855,14.222,-1.268,8.731,-2.191,SHAKE_OPEN
4095,2396,3354,8.313,7.963,14.751,-1.32,8.731,-1.388,SHAKE_OPEN
3135,2614,4095,9.017,5.602,12.014,-1.41,7.7,-0.757,SHAKE_OPEN
4095,2027,3423,9.139,3.043,11.375,-1.553,6.4,-0.747,SHAKE_OPEN
4095,2300,4095,6.687,2.83,13.027,-2.087,5.835,-1.212,SHAKE_OPEN
3829,2161,4095,5.411,3.376,14.277,-2.571,5.78,-1.547,SHAKE_OPEN
4095,2257,3827,6.251,3.577,16.293,-3.214,5.195,-1.467,SHAKE_OPEN
3455,2691,3312,7.01,4.391,17.485,-3.566,3.881,-0.924,SHAKE_OPEN
4095,2313,4095,7.369,4.436,17.229,-3.609,2.296,-0.217,SHAKE_OPEN
4095,2176,3328,7.661,3.788,17.092,-3.535,0.692,0.365,SHAKE_OPEN
3717,2613,3841,7.221,3.007,16.597,-3.441,-0.88,0.578,SHAKE_OPEN
3626,2271,4095,6.297,2.622,15.663,-3.455,-2.195,0.575,SHAKE_OPEN
4095,2400,3443,5.418,2.65,14.693,-3.73,-3.157,0.712,SHAKE_OPEN
3403,2667,4091,4.628,2.828,13.594,-4.149,-3.763,1.109,SHAKE_OPEN
4095,2211,3439,4.594,2.234,12.663,-4.569,-4.053,1.626,SHAKE_OPEN
4095,2383,4095,5.124,1.07,12.371,-4.881,-4.264,2.012,SHAKE_OPEN
3723,2275,4095,5.76,-0.129,12.21,-4.999,-4.597,2.045,SHAKE_OPEN
4095,2363,3926,6.268,-0.795,11.813,-4.742,-5.071,1.773,SHAKE_OPEN
3483,2705,3039,6.548,-1.379,11.722,-4.144,-5.675,1.205,SHAKE_OPEN
4095,2283,4095,6.268,-2.061,11.198,-3.143,-6.525,0.47,SHAKE_OPEN
4095,1957,3883,5.674,-2.588,9.749,-2.167,-7.435,-0.309,SHAKE_OPEN
3888,2517,3856,4.683,-2.291,8.772,-1.353,-8.423,-1.129,SHAKE_OPEN
3578,2229,4095,3.163,-1.82,7.817,-0.656,-8.731,-1.78,SHAKE_OPEN
4095,2270,3417,1.381,-1.738,6.223,-0.268,-8.731,-2.45,SHAKE_OPEN
3899,2667,3965,-0.472,-1.408,4.104,-0.019,-8.731,-3.024,SHAKE_OPEN
4095,1869,3865,-0.994,-0.675,1.283,0.08,-8.731,-3.42,SHAKE_OPEN
4095,2128,4070,-0.929,0.165,-1.793,-0.188,-8.731,-3.32,SHAKE_OPEN
3618,2183,4095,0.273,1.298,-3.211,-0.832,-8.731,-2.599,SHAKE_OPEN
4095,2178,3851,1.367,0.912,-3.912,-1.213,-8.455,-1.968,SHAKE_OPEN
3661,2448,2911,0.826,-1.116,-5.08,-1.222,-7.945,-2.044,SHAKE_OPEN
4003,2153,4095,-0.026,-1.753,-5.411,-1.191,-7.207,-2.938,SHAKE_OPEN
3205,2558,3533,-3.522,-0.74,-7.508,-0.968,-6.133,-4.235,SHAKE_OPEN
4095,2207,3414,-6.907,1.774,-12.476,-1.029,-4.002,-4.337,SHAKE_OPEN
3256,2476,3978,-7.942,2.938,-13.731,-1.371,-1.37,-3.407,SHAKE_OPEN
