3893,3571,688,6.452,-1.132,-7.53,0.063,-0.237,0.011,LUCK
4039,3361,1200,6.167,-1.346,-7.93,0.01,0.028,-0.002,LUCK
4028,3483,788,6.263,-1.264,-7.123,-0.086,0.152,-0.041,LUCK
4095,3401,961,6.491,-0.974,-6.675,-0.076,-0.032,0,LUCK
4095,2928,852,6.776,-1.3,-6.898,-0.027,-0.302,0.029,LUCK
4082,2864,831,7.015,-1.788,-7.417,-0.048,-0.428,-0.05,LUCK
4095,2799,1232,5.993,-1.453,-7.793,-0.072,-0.143,-0.149,LUCK
4054,2816,1158,6.347,-1.288,-7.022,-0.112,-0.01,-0.18,LUCK
4095,3094,1290,6.412,-0.998,-6.855,-0.123,-0.175,-0.148,LUCK
4095,2692,1046,6.723,-1.128,-7.173,-0.103,-0.369,-0.118,LUCK
4095,2716,539,6.543,-1.123,-7.614,-0.082,-0.41,-0.155,LUCK
4095,2719,863,5.997,-0.929,-7.829,-0.062,-0.202,-0.143,LUCK
4016,2683,614,6.211,-0.812,-7.178,-0.079,-0.065,-0.115,LUCK
4095,2746,710,6.314,-0.754,-6.914,-0.07,-0.269,-0.034,LUCK
4095,2827,818,6.548,-1.19,-7.453,-0.049,-0.458,-0.003,LUCK
3943,2705,440,6.596,-1.985,-8.428,-0.074,-0.266,-0.229,LUCK
4095,2971,303,5.818,-1.302,-7.848,-0.097,0.113,-0.454,LUCK
4086,3163,458,5.887,-0.642,-6.823,-0.126,0.143,-0.428,LUCK
3791,2999,1124,5.906,-0.144,-6.744,-0.079,-0.18,-0.167,LUCK
4055,2951,296,6.124,-0.503,-7.673,-0.033,-0.419,0.15,LUCK
3874,2847,777,5.923,-1.24,-8.468,-0.075,-0.189,0.204,LUCK
4092,2869,851,5.827,-1.346,-7.611,-0.182,0.082,0.056,LUCK
3989,2880,684,5.899,-0.675,-7.084,-0.207,-0.029,-0.026,LUCK
3893,2890,960,5.993,-0.441,-7.106,-0.126,-0.211,0.06,LUCK
4021,2897,698,6.053,-0.785,-7.863,-0.053,-0.346,0.098,LUCK
4095,3011,889,5.784,-0.955,-8.559,-0.083,-0.109,0.029,LUCK
4063,3209,615,5.567,-0.702,-7.575,-0.163,0.115,-0.01,LUCK
